TE	Name	sense	antisense	total	RNAseq	div	copies	length
rnd-1_family-51#Unknown	rnd-5_family-308#Unknown	38	79	117	3875.47	5.713	232	71.746
rnd-5_family-308#Unknown	Lx8b	69	48	117	266.53	20.914	465	416.946
rnd-5_family-487#Unknown	Lx6	102	14	117	86.44	20.057	2197	308.31
rnd-6_family-2648#Unknown	B4A	113	4	117	0	22.296	697	288.951
rnd-5_family-1067#Unknown	BC1_Ma	0	116	116	0	24.016	4758	88.008
rnd-1_family-46#Unknown	rnd-6_family-117#Unknown	75	40	115	2038.58	9.139	192	53.948
rnd-4_family-758#Unknown	Lx7	115	0	115	0	22.658	573	134.979
rnd-6_family-117#Unknown	B4A	0	115	115	0	24.183	1530	143.595
rnd-5_family-3056#Unknown	B4	0	112	112	21.61	16.857	678	286.488
rnd-4_family-190#Unknown	X12_DNA	5	105	110	90.04	17.074	5992	420.986
rnd-4_family-1141#Unknown	ORR1D1	109	0	109	7.2	22.746	2521	314.336
rnd-6_family-4109#Unknown	MER99	0	108	108	0	18.83	150	231.92
rnd-6_family-777#Unknown	X6A_LINE	73	35	108	4480.56	6.808	2052	240.069
rnd-1_family-24#Unknown	PB1D9	29	78	107	5179.29	12.109	115	68.009
rnd-4_family-7#Unknown	Lx9	18	88	106	10.81	23.524	8989	275.897
rnd-6_family-6732#Unknown	MT2A	51	55	106	237.71	18.303	357	334.07
rnd-6_family-4882#Unknown	BC1_Ma	105	0	105	176.48	23.901	5626	91.512
rnd-6_family-1570#Unknown	X15_LINE	7	98	104	576.28	17.626	352	406.611
rnd-6_family-2824#Unknown	L3b	74	28	102	986.88	19.404	1805	242.455
rnd-1_family-184#Unknown	B4	28	73	101	14.41	18.945	11	133.636
rnd-6_family-1304#LINE/L1	Lx6	58	42	100	14.41	22.662	1678	523.477
rnd-1_family-73#Unknown	X6A_LINE	20	79	99	475.43	4.142	76	56.987
rnd-5_family-2716#Unknown	PB1D9	97	2	99	3.6	15.576	503	570.366
rnd-1_family-58#Unknown	LX3	76	17	94	1678.41	12.463	27	81.037
rnd-1_family-75#Unknown	B4-5	20	75	94	16171.79	5.102	1838	159.837
rnd-1_family-76#Unknown	MER70B	73	20	93	20061.66	5.491	3438	269.46
rnd-6_family-12790#Unknown	MLT2B1	5	87	92	0	17.537	115	588.209
rnd-6_family-930#Unknown	Lx8	76	16	92	0	19.7	111	111.45
rnd-6_family-1242#Unknown	rnd-6_family-1242#Unknown	0	91	91	0	23.335	454	224.044
rnd-1_family-221#LTR/ERVL-MaLR	ORR1D1-int	7	83	90	212.5	20.887	282	178.447
rnd-5_family-48#Unknown	B4	25	64	89	1080.52	24.318	64950	167.337
rnd-1_family-0#Unknown	B4	70	18	88	1174.17	19.398	324	105.586
rnd-1_family-326#Unknown	L1M4	51	37	88	97.25	15.195	1227	176.403
rnd-3_family-59#LINE/L1	Lx7	32	54	87	3.6	26.29	10198	361.803
rnd-5_family-1201#Unknown	CR1-L3B_Croc	49	38	87	140.47	17.304	1719	492.148
rnd-6_family-904#Unknown	X6B_LINE	34	53	87	36.02	14.926	404	398.812
rnd-1_family-255#Unknown	Lx8	18	68	86	3320.8	20.894	631	277.762
rnd-4_family-136#Unknown	MTD-int	0	86	86	7.2	26.733	4810	256.321
rnd-4_family-292#Unknown	ORR1D1	74	12	86	543.86	16.59	4524	275.723
rnd-1_family-192#Unknown	L2b	26	59	85	655.52	12.729	2731	457.152
rnd-1_family-82#Unknown	MER70B	18	68	85	522.25	14.108	1675	231.831
rnd-1_family-86#LINE/L1	ORR1D1	39	46	85	1091.33	11.786	8630	918.961
rnd-5_family-61#Unknown	Lx6	85	0	85	72.03	20.789	870	366.931
rnd-6_family-3051#Unknown	LX3	26	58	84	1613.58	19.408	176	383.807
rnd-6_family-1874#Unknown	rnd-6_family-398#Unknown	83	0	83	36.02	16.493	128	158.531
rnd-6_family-398#Unknown	MTEa	80	3	83	0	28.302	262	244.008
rnd-1_family-207#Unknown	UCON78	3	78	82	850.01	7.774	1848	55.223
rnd-3_family-156#Unknown	Lx9	49	33	82	0	23.053	1624	286.459
rnd-6_family-1772#Unknown	L1M2	18	64	82	0	23.11	350	851.951
rnd-1_family-263#Unknown	B4A	0	81	81	9188.02	12.694	2101	162.255
rnd-5_family-65#Unknown	ORR1D1	64	18	81	846.41	15.47	13342	311.714
rnd-5_family-921#Unknown	Lx6	5	76	81	82.84	24.754	2318	165.3
rnd-1_family-321#Unknown	rnd-6_family-3409#Unknown	80	0	80	57.63	13.289	393	126.193
rnd-4_family-108#Unknown	PB1D9	62	18	80	932.85	6.28	569	205.497
rnd-6_family-2592#Unknown	rnd-1_family-321#Unknown	80	0	80	3594.53	20.624	116	454.353
rnd-6_family-3409#Unknown	MamRTE1	0	80	80	0	24.544	603	223.048
rnd-6_family-661#Unknown	Lx8	0	79	79	129.66	18.549	341	308.311
rnd-1_family-274#Unknown	MTD-int	10	68	78	2794.95	19.567	67	121.015
rnd-1_family-80#Unknown	B4-6	12	64	77	11946.95	5.415	960	208.288
rnd-5_family-755#Unknown	rnd-5_family-755#Unknown	22	54	76	0	24.325	707	146.235
rnd-1_family-21#Unknown	B4	62	12	74	813.99	14.896	829	181.498
rnd-6_family-4238#LTR/ERV1	PB1D9	4	68	73	0	19.592	191	598.476
rnd-5_family-2467#Unknown	rnd-5_family-2467#Unknown	8	64	72	0	26.782	420	183.65
rnd-6_family-1204#LTR/ERVL	Lx8	0	71	71	7.2	27.698	15205	385.385
rnd-6_family-2483#Unknown	rnd-6_family-2483#Unknown	15	56	71	5337.77	17.307	157	440.586
rnd-1_family-67#Unknown	B4A	56	14	70	75.64	16.38	164	116.805
rnd-1_family-83#Unknown	Lx6	18	53	70	26832.92	8.608	5015	257.182
rnd-5_family-309#Unknown	B4-3	18	52	70	3.6	24.877	674	98.28
rnd-1_family-348#Unknown	rnd-6_family-3994#Unknown	0	69	69	50.42	12.197	334	149.958
rnd-1_family-85#Unknown	rnd-1_family-348#Unknown	18	52	69	3698.98	7.562	1155	207.51
rnd-6_family-3994#Unknown	B4	17	52	69	3.6	24.347	434	233.666
rnd-6_family-2187#Unknown	rnd-6_family-3012#Unknown	2	66	68	7.2	24.166	4769	157.155
rnd-6_family-3012#Unknown	PB1D11	68	0	68	0	27.27	323	228.266
rnd-1_family-334#Unknown	PB1D9	4	62	67	0	16.44	10	91.7
rnd-6_family-1230#Unknown	B4A	50	13	64	104.45	25.28	1748	76.366
rnd-5_family-218#Unknown	B4A	56	8	63	14.41	22.666	2520	438.588
rnd-1_family-190#Unknown	B4	15	47	62	338.56	9.139	591	154.953
rnd-4_family-31#Unknown	ORR1D1	41	21	62	306.15	22.249	10192	128.339
rnd-1_family-123#Unknown	B4	6	55	61	180.09	20.177	2282	143.491
rnd-2_family-65#Unknown	MTE2b	3	58	61	28.81	26.218	11812	249.249
rnd-5_family-367#Unknown	rnd-6_family-323#Unknown	59	2	61	7.2	26.219	4727	223.866
rnd-6_family-323#Unknown	Lx7	60	1	61	0	23.962	444	204.732
rnd-1_family-158#Unknown	Lx8b	0	60	60	3.6	21.946	151	97.424
rnd-5_family-615#Unknown	ORR1D-int	0	60	60	1498.32	5.775	511	258.272
rnd-1_family-42#Unknown	B4A	18	41	59	291.74	20.372	2950	73.555
rnd-6_family-1509#Unknown	rnd-6_family-1509#Unknown	0	59	59	10.81	17.68	302	340.248
rnd-1_family-173#Unknown	Lx6	41	17	58	14165.62	12.186	3171	112.989
rnd-2_family-62#Unknown	Lx9	0	57	57	3.6	25.712	1650	217.553
rnd-5_family-1492#Unknown	rnd-5_family-1492#Unknown	32	25	57	0	24.879	301	263.429
rnd-1_family-195#Unknown	rnd-1_family-195#Unknown	0	56	56	212.5	18.122	65	187.077
rnd-1_family-329#Unknown	rnd-1_family-329#Unknown	56	0	56	10.81	15.082	187	123.337
rnd-1_family-114#Unknown	ORR1D1-int	0	55	55	352.97	17.05	599	213.354
rnd-1_family-11#Unknown	rnd-6_family-1222#Unknown	39	16	55	165.68	18.725	76	77.408
rnd-1_family-209#LTR/ERVL-MaLR	PB1D9	20	35	55	154.87	23.91	233	225.034
rnd-1_family-302#Unknown	PB1D9	55	0	55	32.42	11.5	1	51
rnd-5_family-323#Unknown	B4	6	49	55	3.6	20.842	905	337.507
rnd-6_family-1222#Unknown	rnd-1_family-302#Unknown	53	2	55	7.2	22.154	1008	158.966
rnd-1_family-238#Unknown	ORR1E	0	54	54	3.6	17.03	711	77.142
rnd-1_family-81#Unknown	Lx8b	10	45	54	1916.12	10.665	1152	256.781
rnd-2_family-72#Unknown	BC1_Ma	20	34	54	0	26.187	2397	234.105
rnd-4_family-525#Unknown	RodERV21-int	54	0	54	75.64	16.432	1782	187.98
rnd-6_family-1317#Unknown	rnd-1_family-238#Unknown	9	45	54	0	26.336	3021	228.819
rnd-6_family-2847#Unknown	MT2A	48	5	54	0	16.59	120	223.05
rnd-6_family-532#Unknown	BC1_Ma	54	0	54	0	22.283	1465	73.517
rnd-6_family-70#Unknown	B4	37	18	54	162.08	21.153	323	419.248
rnd-4_family-81#Unknown	rnd-6_family-3096#LINE/L1	51	2	53	2722.91	20.587	1459	268.382
rnd-6_family-3096#LINE/L1	MTD-int	35	18	53	0	25.719	332	219.56
rnd-6_family-331#Unknown	rnd-6_family-331#Unknown	53	0	53	147.67	19.042	1171	65.015
rnd-6_family-15799#Unknown	B4A	39	14	52	1555.95	15.998	2980	276.775
rnd-6_family-4393#Unknown	MTD	48	4	52	14.41	15.19	323	336.7
rnd-5_family-436#Unknown	4.5SRNA	49	2	51	11374.28	10.025	1140	72.23
rnd-1_family-49#Unknown	ORR1D1	8	42	50	255.72	4.204	5299	140.34
rnd-5_family-805#Unknown	LX3	34	16	50	3.6	20.941	615	372.028
rnd-1_family-124#Unknown	ORR1D1	0	49	49	21.61	15.533	3	56
rnd-6_family-793#Unknown	MTD	46	3	49	194.49	17.83	138	211.87
rnd-1_family-269#Unknown	rnd-6_family-595#LTR/ERVL-MaLR	0	48	48	32.42	9.65	42	44.429
rnd-1_family-72#Unknown	ORR1D1	45	4	48	421.4	16.37	177	168.955
rnd-1_family-96#Unknown	MLT2D	2	46	48	507.84	11.669	342	119.605
rnd-6_family-595#LTR/ERVL-MaLR	Lx6	6	42	48	0	28.938	590	285.42
rnd-5_family-189#Unknown	B4A	29	18	47	7.2	26.516	7959	234.342
rnd-6_family-676#Unknown	B4	39	8	47	2344.73	22.465	2004	121.921
rnd-6_family-3873#LTR/ERV1	RodERV21-int	28	19	46	28.81	16.275	197	454.34
rnd-1_family-285#Unknown	L1M2	0	45	45	7.2	13.968	280	103.221
rnd-5_family-1331#Unknown	MER52-int	37	8	45	28.81	22.495	595	244.955
rnd-6_family-1027#LTR/ERV1	rnd-5_family-1331#Unknown	15	30	45	0	24.743	601	714.331
rnd-6_family-7484#LINE/L1	B4	0	45	45	3.6	25.432	605	243.051
rnd-5_family-1146#Unknown	MamTip2b	2	42	44	277.33	14.795	1017	405.482
rnd-5_family-403#Unknown	MER52-int	37	8	44	90.04	14.519	344	419.642
rnd-6_family-431#Unknown	L2c	14	29	44	10.81	22.107	2777	730.172
rnd-1_family-314#Unknown	L1M4	10	33	43	122.46	17.46	141	62.099
rnd-5_family-393#Unknown	MTEa	0	43	43	7.2	22.11	2808	335.373
rnd-5_family-408#Unknown	L3	43	0	43	46.82	19.233	808	277.757
rnd-6_family-2174#LINE/L1	X15_LINE	41	2	43	0	24.445	1617	357.2
rnd-6_family-5024#Unknown	MTD-int	11	32	43	1685.61	19.769	103	423.485
rnd-3_family-568#Unknown	ORR1E	42	0	42	3.6	26.658	3336	242.17
rnd-4_family-974#Unknown	BC1_Ma	2	40	42	219.71	17.759	1507	300.678
rnd-5_family-2039#Unknown	L1MA4	5	37	42	0	22.993	1694	200.585
rnd-6_family-258#Unknown	L2	42	0	42	223.31	17.332	383	241.355
rnd-6_family-4468#Unknown	rnd-6_family-258#Unknown	0	42	42	0	23.09	2366	89.473
rnd-1_family-105#Unknown	MIRc	40	1	41	623.1	13.095	352	81.375
rnd-1_family-53#Unknown	MTD	38	3	41	75.64	11.98	1148	129.328
rnd-1_family-66#Unknown	LTR53B	32	10	41	522.25	15.084	609	68.187
rnd-5_family-2640#Unknown	LX3	0	41	41	3.6	18.887	298	271.547
rnd-1_family-126#Unknown	B4	6	35	40	21.61	19.87	61	67.164
rnd-5_family-676#Unknown	ORR1D2	0	40	40	10.81	21.328	997	273.594
rnd-1_family-187#Unknown	OldhAT1	14	25	39	104.45	17.539	974	258.747
rnd-1_family-110#Unknown	MTEa	38	0	38	10.81	23.908	736	122.183
rnd-1_family-237#Unknown	MER33	1	37	38	7.2	2.4	1	41
rnd-5_family-565#Unknown	Charlie1a	38	0	38	0	24.398	520	285.338
rnd-6_family-1497#Unknown	rnd-5_family-565#Unknown	33	5	38	0	25.076	383	151.943
rnd-6_family-2136#Unknown	MTE2b	0	38	38	0	24.827	267	182.142
rnd-6_family-891#Unknown	X6B_LINE	5	33	38	0	26.378	9427	238.442
rnd-4_family-233#Unknown	PB1D11	34	3	37	25.21	25.196	11226	138.671
rnd-6_family-3392#Unknown	rnd-6_family-9481#Unknown	37	0	37	43.22	14.814	216	258.546
rnd-6_family-9481#Unknown	PB1D7	37	0	37	0	17.836	212	126.967
rnd-1_family-106#Unknown	rnd-6_family-76#Unknown	0	36	36	18.01	17.37	221	240.656
rnd-4_family-85#Unknown	rnd-4_family-937#Unknown	36	0	36	43.22	18.464	651	153.131
rnd-4_family-937#Unknown	rnd-4_family-85#Unknown	4	32	36	741.96	24.727	3769	202.264
rnd-6_family-76#Unknown	L3	36	0	36	0	24.762	731	183.029
rnd-1_family-198#LTR/ERVL-MaLR	rnd-5_family-549#Unknown	0	35	35	68.43	20.908	1044	131.661
rnd-4_family-30#Unknown	B4A	19	16	35	104.45	19.665	13287	287.128
rnd-5_family-186#Unknown	ORR1D1-int	34	1	35	0	24.993	12275	145.435
rnd-5_family-50#Unknown	ORR1D1	24	11	35	64.83	13.217	415	173.778
rnd-5_family-549#Unknown	LX3	32	3	35	0	25.385	1621	201.134
rnd-5_family-824#Simple_repeat	rnd-5_family-824#Simple_repeat	24	10	34	133.26			
rnd-5_family-866#LTR/ERVL	rnd-5_family-866#LTR/ERVL	6	27	33	0	28.635	688	426.548
rnd-6_family-1532#Unknown	MER33	32	1	33	0	22.291	246	162.325
rnd-1_family-152#Unknown	MLT1D	11	21	32	15354.19	14.024	1446	351.172
rnd-1_family-161#Unknown	MTE-int	0	32	32	2164.64	12.45	1717	132.054
rnd-5_family-1867#Unknown	rnd-6_family-1100#Unknown	32	0	32	0	27.471	1395	165.812
rnd-6_family-1100#Unknown	L1M2c	22	9	32	136.87	18.295	291	85.536
rnd-6_family-248#Unknown	Lx7	22	11	32	0	26.539	1278	216.441
rnd-1_family-239#Unknown	rnd-4_family-413#Unknown	2	29	31	22161.47	12.015	1052	142.298
rnd-1_family-341#Unknown	B4	31	0	31	0	16.867	577	151.891
rnd-4_family-413#Unknown	MERVL_2A-int	0	30	31	3.6	23.555	3051	91.057
rnd-6_family-2337#Unknown	rnd-1_family-341#Unknown	5	26	31	0	17.153	376	335.428
rnd-6_family-9391#Unknown	L2	0	31	31	90.04	18.795	177	397.853
rnd-1_family-19#Unknown	L1MB2	23	7	30	28.81			
rnd-4_family-112#Unknown	MTE2b	7	23	30	43.22	23.746	4461	283.611
rnd-6_family-332#LINE/L1	PB1D9	0	30	30	0	26.196	2444	195.846
rnd-1_family-99#Unknown	Tigger17a	2	27	29	72.03	16.336	11	132.727
rnd-5_family-928#Unknown	L1M4	29	0	29	0	27.589	492	202.163
rnd-6_family-1214#Unknown	Lx8	29	0	29	0	23.604	368	151.519
rnd-6_family-5640#Unknown	L1MA9	29	0	29	0	18.277	136	250.934
rnd-6_family-7397#LINE/L1	MLT2D	18	11	29	0	23.819	430	141.591
rnd-1_family-212#Unknown	Lx8b	13	15	28	50.42	16.556	138	68.804
rnd-5_family-1188#Unknown	LX3	11	16	28	97.25	7.658	811	255.448
rnd-5_family-88#Unknown	OldhAT1	28	0	28	0	14.542	351	313.442
rnd-1_family-149#Unknown	Lx6	1	27	27	842.81	12.106	186	110.124
rnd-1_family-22#Unknown	PB1D10	25	1	27	3039.86	12.656	61	61.033
rnd-1_family-61#LINE/L1	X12_DNA	10	17	27	288.14	12.119	8376	746.991
rnd-1_family-9#Unknown	rnd-6_family-2584#Unknown	23	5	27	734.75	22.62	700	104.65
rnd-3_family-114#Unknown	PB1D9	16	12	27	21.61	22.822	6782	392.965
rnd-6_family-2557#Unknown	L1MA4	3	24	27	61.23	17.813	4185	406.537
rnd-6_family-2584#Unknown	MLT2B5	27	0	27	14.41	14.26	52	60.673
rnd-1_family-304#Unknown	rnd-6_family-1482#Unknown	1	25	26	713.14	6.608	499	46.906
rnd-1_family-48#Unknown	L1MD	11	15	26	4653.44	10.464	66	55.197
rnd-1_family-88#Unknown	rnd-6_family-4531#Unknown	0	26	26	165.68	13.544	560	59.311
rnd-6_family-1482#Unknown	PB1D7	0	26	26	0	26.216	405	316.709
rnd-6_family-1486#Unknown	rnd-6_family-1486#Unknown	20	5	26	3.6	19.185	132	561.644
rnd-6_family-1812#Unknown	ORR1D1	25	1	26	7.2	22.431	1525	100.376
rnd-6_family-268#LINE/L1	B4A	17	9	26	0	25.669	1128	190.78
rnd-6_family-279#Unknown	MT2A	9	17	26	925.65	7.382	186	64.323
rnd-6_family-4531#Unknown	ORR1D1	26	0	26	0	24.128	71	142.254
rnd-1_family-130#Unknown	rnd-5_family-4035#Unknown	1	25	25	0	10.6	1	46
rnd-1_family-188#Unknown	L1MA9	10	15	25	28.81	21.134	1010	119.196
rnd-1_family-294#Unknown	Lx6	25	0	25	79.24	16.885	294	76.884
rnd-5_family-216#Unknown	rnd-1_family-294#Unknown	25	0	25	0	23.588	4972	148.811
rnd-5_family-4035#Unknown	L1MA4	25	0	25	0	23.925	818	149.44
rnd-5_family-258#Unknown	L1MC3	24	0	24	46.82	16.49	790	210.447
rnd-5_family-8#Unknown	L2	0	24	24	14.41	20.733	2271	367.445
rnd-6_family-4374#Unknown	RMER5	0	24	24	0	24.333	712	137.544
rnd-1_family-216#Unknown	B4	18	6	23	1148.95	21.285	92	132.152
rnd-1_family-232#Unknown	rnd-1_family-216#Unknown	18	6	23	165.68	19.475	20	78.95
rnd-6_family-1623#Unknown	PB1D9	12	11	23	118.86	21.168	783	73.208
rnd-6_family-2736#Unknown	rnd-1_family-232#Unknown	5	18	23	14.41	24.769	3538	138.347
rnd-6_family-3788#LTR/ERVK	rnd-6_family-3788#LTR/ERVK	10	13	23	28.81	13.058	222	405.505
rnd-1_family-138#Unknown	L1M2	1	20	22	154.87	16.11	581	115.041
rnd-1_family-143#Unknown	PB1D7	3	20	22	158.48	13.488	139	130.201
rnd-4_family-47#Unknown	MLT2B5	12	10	22	0	23.173	1273	332.786
rnd-1_family-171#Unknown	B4	11	10	21	4127.59	13.624	2141	175.164
rnd-1_family-183#Unknown	rnd-6_family-2417#Unknown	2	19	21	82.84	19.364	629	181.293
rnd-4_family-38#Unknown	RMER5	0	21	21	21.61	22.71	5029	293.658
rnd-4_family-50#Unknown	Lx8	11	10	21	21.61	24.425	10335	148.296
rnd-5_family-96#Unknown	L3	14	6	21	18.01	16.003	541	396.288
rnd-6_family-2417#Unknown	RodERV21-int	21	0	21	0	24.232	82	301.268
rnd-6_family-2856#Unknown	B4	21	0	21	0	15.417	262	85.573
rnd-6_family-5010#Unknown	X17_LINE	0	21	21	0	22.052	305	121.187
rnd-6_family-5876#Unknown	B4A	0	21	21	212.5	16.289	87	275.575
rnd-6_family-857#Unknown	ORR1D1	0	21	21	1120.14	4.306	580	275.678
rnd-6_family-9912#Unknown	B4A	3	18	21	75.64	16.924	230	429.987
rnd-1_family-284#Unknown	rnd-6_family-2647#Unknown	1	19	20	205.3	11.485	1781	121.395
rnd-6_family-2647#Unknown	OldhAT1	20	0	20	0	24.507	300	275.957
rnd-1_family-125#Unknown	rnd-6_family-1111#Unknown	0	19	19	14.41	17.4	5	61.6
rnd-1_family-77#Unknown	MTD	1	19	19	25.21	20.772	40	109.35
rnd-5_family-174#Unknown	MTD	19	0	19	3.6	11.999	214	374.86
rnd-6_family-1111#Unknown	rnd-6_family-3734#Unknown	0	19	19	0	26.292	544	327.276
rnd-6_family-3734#Unknown	L2c	11	8	19	1134.55	16.69	213	147.39
rnd-1_family-153#Unknown	B4	16	2	18	32.42			
rnd-1_family-349#LTR/ERVK	rnd-6_family-119#Unknown	0	18	18	0	14.64	10	62.6
rnd-4_family-177#Unknown	PB1D10	14	4	18	144.07	25.698	13067	215.843
rnd-5_family-1671#Unknown	rnd-6_family-7676#Unknown	0	18	18	14.41	13.092	431	52.086
rnd-6_family-119#Unknown	rnd-6_family-3288#LTR/ERVK	9	9	18	0	25.179	371	223.199
rnd-6_family-2949#Unknown	LTR81A	0	17	18	21.61	21.257	4604	110.669
rnd-6_family-3288#LTR/ERVK	tRNA-Lys-AAG	6	12	18	0	17.496	420	362.31
rnd-6_family-7676#Unknown	rnd-1_family-153#Unknown	6	12	18	0	19.448	296	192.453
rnd-1_family-215#Unknown	rnd-6_family-6709#Unknown	17	0	17	0			
rnd-6_family-14122#Unknown	MIRb	6	11	17	7.2	14.597	153	323.935
rnd-6_family-3425#Unknown	ORR1D1-int	16	1	17	878.82	16.387	333	332.565
rnd-6_family-6709#Unknown	LTR16A	3	14	17	0	21.279	19	200.158
rnd-1_family-280#Unknown	B4A	16	0	16	26494.36	11.238	1390	219.36
rnd-4_family-154#Unknown	MTEa	2	13	16	0	21.672	1481	351.025
rnd-4_family-84#Unknown	ORR1E	3	13	16	7.2	27.337	32825	259.154
rnd-5_family-1004#Unknown	B4A	4	12	16	28.81	20.763	876	238.255
rnd-5_family-1258#Unknown	rnd-5_family-1004#Unknown	0	16	16	18.01	26.058	6176	249.831
rnd-5_family-658#Unknown	rnd-6_family-320#Unknown	0	16	16	3.6	24.276	3253	158.898
rnd-6_family-320#Unknown	B4A-2	0	16	16	432.21	18.063	93	387.484
rnd-6_family-7267#Unknown	Lx6	9	8	16	104.45	8.311	292	338.363
rnd-1_family-165#Unknown	rnd-6_family-490#Unknown	0	15	15	50.42	16.161	71	75.254
rnd-6_family-1105#Unknown	PB1D10	6	8	15	93.65	24.084	2924	116.398
rnd-6_family-490#Unknown	LX3	0	15	15	0	25.085	420	228.257
rnd-1_family-166#Unknown	rnd-6_family-1738#Unknown	0	14	14	97.25	17.332	494	143.927
rnd-1_family-16#Unknown	L1MB8	7	7	14	338.56	22.067	2809	100.893
rnd-1_family-175#Unknown	Lx9	12	2	14	183.69	7.25	8	54.625
rnd-1_family-249#Unknown	PB1D7	0	14	14	349.37	17.517	6	64.667
rnd-1_family-299#Unknown	rnd-6_family-5205#Unknown	0	14	14	68.43	11.233	635	89.521
rnd-1_family-327#Unknown	PB1D10	8	6	14	7.2	11.067	3	66
rnd-4_family-115#Unknown	UCON17	7	7	14	255.72	24.525	2686	549.958
rnd-4_family-346#Unknown	MT2A	3	12	14	46.82	23.838	12913	115.074
rnd-5_family-105#Unknown	B4A	0	14	14	0	25.843	5104	183.51
rnd-5_family-1112#Unknown	rnd-6_family-6733#Unknown	5	9	14	75.64	15.169	864	361.457
rnd-5_family-1437#Unknown	LTR40a	0	14	14	3.6	20.533	1016	221.788
rnd-6_family-1738#Unknown	B4A	14	0	14	0	26.991	556	200.379
rnd-6_family-5205#Unknown	rnd-1_family-327#Unknown	0	14	14	7.2	22.402	198	317.545
rnd-6_family-5796#Unknown	MLT2B5	14	0	14	1516.33	3.065	179	64.654
rnd-6_family-6733#Unknown	Eutr10	0	14	14	25.21	15.638	292	142.771
rnd-1_family-122#Unknown	MLT2B1	0	13	13	302.55	16.88	317	202.527
rnd-1_family-206#Unknown	ORR1E	0	13	13	111.65	17.645	53	90.83
rnd-1_family-62#Unknown	rnd-6_family-1025#Unknown	3	10	13	0			
rnd-5_family-270#Unknown	MT2A	4	9	13	0	25.82	3940	237.343
rnd-6_family-1025#Unknown	X12_DNA	0	13	13	0	24.991	160	145.106
rnd-6_family-632#Unknown	B4	2	12	13	0	26.872	1593	201.678
rnd-6_family-6442#Unknown	LX3	13	0	13	75.64	8.285	211	378.659
rnd-1_family-103#Unknown	rnd-6_family-278#LTR/ERVL	0	11	12	558.27	14.506	9739	199.19
rnd-1_family-108#Unknown	B4	0	12	12	190.89	17.369	223	159.61
rnd-1_family-179#Unknown	ORR1E	12	0	12	252.12	20.638	1323	394.628
rnd-2_family-383#Unknown	MamRep4096	0	11	12	695.13	14.937	755	177.824
rnd-6_family-105#Unknown	rnd-6_family-105#Unknown	0	12	12	0	23.331	939	212.728
rnd-6_family-11873#Unknown	rnd-6_family-6264#Unknown	12	0	12	0	16.746	41	203.902
rnd-6_family-1256#Unknown	MLT1A1	8	4	12	0	26.174	3162	217.162
rnd-6_family-278#LTR/ERVL	MTD	10	2	12	0	28.574	699	417.655
rnd-6_family-2851#Unknown	L2	0	12	12	3.6	17.445	139	246.849
rnd-6_family-4935#Unknown	rnd-6_family-11873#Unknown	7	4	12	0	25.108	1696	221.93
rnd-6_family-6264#Unknown	ORR1D1-int	12	0	12	61.23	20.69	69	353.174
rnd-6_family-6290#Unknown	MT2A	12	0	12	0	24.001	333	234.664
rnd-1_family-102#Unknown	L1M4	9	2	11	788.78	5.36	151	92.185
rnd-1_family-107#Unknown	MER2	2	9	11	399.79	6.108	447	82.329
rnd-1_family-328#Unknown	B4	11	0	11	151.27	7.879	258	68.244
rnd-4_family-33#Unknown	rnd-6_family-109#Unknown	9	2	11	0	26.691	5799	198.902
rnd-5_family-103#Unknown	MLT1C	10	1	11	0	24.378	4008	137.337
rnd-5_family-205#LINE/L1	ORR1D1-int	10	1	11	0	28.011	3861	255.879
rnd-6_family-109#Unknown	ORR1D-int	11	0	11	0	23.604	308	267.873
rnd-1_family-121#Unknown	rnd-6_family-7316#Unknown	10	0	10	54.03	16.489	174	264.759
rnd-1_family-177#Unknown	rnd-6_family-307#Unknown	10	1	10	32.42			
rnd-1_family-344#Unknown	MER58B	0	10	10	0			
rnd-1_family-52#Unknown	rnd-5_family-126#Unknown	10	0	10	14.41	22.479	1024	102.576
rnd-1_family-60#Unknown	rnd-6_family-2339#LINE/L1	3	7	10	61.23	19.522	49	82.449
rnd-1_family-63#Unknown	PB1D10	3	6	10	194.49	5.574	3205	89.525
rnd-4_family-438#Unknown	B4	10	0	10	28.81	19.264	557	185.815
rnd-4_family-97#Unknown	Lx8	0	10	10	3.6	21.578	3855	110.429
rnd-5_family-126#Unknown	rnd-6_family-1008#Unknown	10	0	10	0	24.908	2225	281.968
rnd-5_family-984#Unknown	rnd-6_family-1842#Unknown	0	10	10	0	25.444	736	179.644
rnd-6_family-1008#Unknown	PB1D10	8	2	10	7.2	21.175	1759	247.352
rnd-6_family-1842#Unknown	rnd-4_family-438#Unknown	10	0	10	21.61	20.952	204	340.299
rnd-6_family-2339#LINE/L1	MTD	9	1	10	0	23.768	554	226.726
rnd-6_family-2401#Unknown	B4A	7	3	10	248.52	22.789	1011	91.391
rnd-6_family-307#Unknown	MLT2B5	10	0	10	0	25.512	420	113.974
rnd-6_family-7316#Unknown	rnd-1_family-344#Unknown	0	10	10	0	26.871	115	230.53
rnd-1_family-199#Unknown	L1MC1	2	7	9	0	11.5	3	44.333
rnd-2_family-2#Unknown	B4A	3	6	9	7.2	26.241	10501	215.117
rnd-5_family-1595#Unknown	rnd-6_family-4768#Unknown	9	0	9	14.41	16.78	622	463.304
rnd-5_family-528#Unknown	rnd-6_family-4145#LINE/L1	5	4	9	1473.11	15.715	307	83.684
